Source,Target,Type,Id,Label,Weight
pgcipriano,rndt_it,Directed,1,,2.0
pgcipriano,inspire_eu,Directed,2,,2.0
pgcipriano,planetgis,Directed,3,,1.0
rndt_it,rndt_it,Directed,4,,3.0
rndt_it,inspire_eu,Directed,5,,1.0
rndt_it,nordai_it,Directed,6,,2.0
rndt_it,riccardoluna,Directed,7,,1.0
rndt_it,twanto,Directed,8,,1.0
rndt_it,planetek,Directed,9,,1.0
rndt_it,smespire,Directed,10,,1.0
antorotundo,pgcipriano,Directed,11,,1.0
antorotundo,rndt_it,Directed,12,,27.0
antorotundo,inspire_eu,Directed,13,,8.0
antorotundo,aborruso,Directed,14,,6.0
antorotundo,alfonso6403,Directed,15,,2.0
antorotundo,nordai_it,Directed,16,,4.0
antorotundo,rivistageomedia,Directed,17,,1.0
antorotundo,riccardoluna,Directed,18,,2.0
antorotundo,twanto,Directed,19,,3.0
antorotundo,cfabry,Directed,20,,1.0
antorotundo,rscano,Directed,21,,1.0
antorotundo,iwaitaly,Directed,22,,1.0
antorotundo,cesaregerbino,Directed,23,,1.0
antorotundo,planetgis,Directed,24,,3.0
antorotundo,europainitalia,Directed,25,,3.0
antorotundo,sandrogozi,Directed,26,,4.0
antorotundo,dippoliticheue,Directed,27,,4.0
antorotundo,ispra_press,Directed,28,,3.0
antorotundo,eu_commission,Directed,29,,3.0
antorotundo,inspiregeoport,Directed,30,,2.0
antorotundo,euenvironment,Directed,31,,3.0
antorotundo,karmenuvella,Directed,32,,2.0
antorotundo,madi468,Directed,33,,1.0
antorotundo,massimozotti,Directed,34,,4.0
antorotundo,planetek,Directed,35,,1.0
antorotundo,palazzo_chigi,Directed,36,,4.0
antorotundo,agidgov,Directed,37,,4.0
antorotundo,matteorenzi,Directed,38,,3.0
antorotundo,mariannamadia,Directed,39,,4.0
antorotundo,montecitorio,Directed,40,,3.0
antorotundo,coppolapaolo,Directed,41,,3.0
antorotundo,quinta,Directed,42,,3.0
antorotundo,paolo_barberis,Directed,43,,3.0
antorotundo,diegodelorenzis,Directed,44,,2.0
antorotundo,pietroblu,Directed,45,,2.0
antorotundo,datigovit,Directed,46,,1.0
antorotundo,marcobani,Directed,47,,1.0
antorotundo,smespire,Directed,48,,2.0
antorotundo,glgalletti,Directed,49,,4.0
antorotundo,minambienteit,Directed,50,,3.0
antorotundo,erealacci,Directed,51,,4.0
antorotundo,velosilvia,Directed,52,,4.0
antorotundo,barbaradegani,Directed,53,,4.0
antorotundo,micheledisalvo,Directed,54,,1.0
antorotundo,fnicodemo,Directed,55,,1.0
antorotundo,eu_env,Directed,56,,1.0
antorotundo,cor_com,Directed,57,,1.0
antorotundo,antsalerno,Directed,58,,1.0
antorotundo,chefuturo,Directed,59,,1.0
antorotundo,digitalchampita,Directed,60,,1.0
antorotundo,maurizio_fodera,Directed,61,,1.0
antorotundo,poke_dem,Directed,62,,2.0
antorotundo,patriziasaggia,Directed,63,,2.0
antorotundo,altrageologia,Directed,64,,1.0
antorotundo,afalciano,Directed,65,,1.0
antorotundo,openoikos,Directed,66,,1.0
aborruso,rndt_it,Directed,67,,9.0
aborruso,inspire_eu,Directed,68,,2.0
aborruso,antorotundo,Directed,69,,1.0
aborruso,alfonso6403,Directed,70,,2.0
aborruso,nordai_it,Directed,71,,3.0
aborruso,rivistageomedia,Directed,72,,1.0
aborruso,pippopotam0,Directed,73,,1.0
aborruso,riccardoluna,Directed,74,,2.0
aborruso,cfabry,Directed,75,,1.0
aborruso,rscano,Directed,76,,1.0
aborruso,iwaitaly,Directed,77,,1.0
aborruso,cesaregerbino,Directed,78,,1.0
aborruso,europainitalia,Directed,79,,1.0
aborruso,sandrogozi,Directed,80,,1.0
aborruso,dippoliticheue,Directed,81,,1.0
aborruso,ispra_press,Directed,82,,1.0
aborruso,eu_commission,Directed,83,,1.0
aborruso,inspiregeoport,Directed,84,,1.0
aborruso,euenvironment,Directed,85,,2.0
aborruso,karmenuvella,Directed,86,,1.0
aborruso,massimozotti,Directed,87,,1.0
aborruso,planetek,Directed,88,,1.0
aborruso,palazzo_chigi,Directed,89,,1.0
aborruso,agidgov,Directed,90,,1.0
aborruso,matteorenzi,Directed,91,,1.0
aborruso,mariannamadia,Directed,92,,1.0
aborruso,montecitorio,Directed,93,,1.0
aborruso,coppolapaolo,Directed,94,,1.0
aborruso,quinta,Directed,95,,1.0
aborruso,paolo_barberis,Directed,96,,1.0
aborruso,diegodelorenzis,Directed,97,,1.0
aborruso,glgalletti,Directed,98,,1.0
aborruso,minambienteit,Directed,99,,1.0
aborruso,erealacci,Directed,100,,1.0
aborruso,velosilvia,Directed,101,,1.0
aborruso,barbaradegani,Directed,102,,1.0
aborruso,kartoblog,Directed,103,,1.0
aborruso,poke_dem,Directed,104,,2.0
alfonso6403,rndt_it,Directed,105,,1.0
alfonso6403,rivistageomedia,Directed,106,,1.0
nordai_it,rndt_it,Directed,107,,4.0
nordai_it,inspire_eu,Directed,108,,3.0
nordai_it,antorotundo,Directed,109,,2.0
nordai_it,aborruso,Directed,110,,1.0
nordai_it,riccardoluna,Directed,111,,2.0
nordai_it,europainitalia,Directed,112,,1.0
nordai_it,sandrogozi,Directed,113,,1.0
nordai_it,dippoliticheue,Directed,114,,1.0
nordai_it,ispra_press,Directed,115,,1.0
nordai_it,eu_commission,Directed,116,,1.0
nordai_it,agidgov,Directed,117,,1.0
nordai_it,datigovit,Directed,118,,1.0
iavvocato,rndt_it,Directed,119,,2.0
iavvocato,inspire_eu,Directed,120,,1.0
iavvocato,antorotundo,Directed,121,,2.0
iavvocato,nordai_it,Directed,122,,1.0
iavvocato,riccardoluna,Directed,123,,1.0
iavvocato,europainitalia,Directed,124,,1.0
iavvocato,sandrogozi,Directed,125,,1.0
iavvocato,dippoliticheue,Directed,126,,1.0
iavvocato,ispra_press,Directed,127,,1.0
iavvocato,eu_commission,Directed,128,,1.0
iavvocato,agidgov,Directed,129,,1.0
iavvocato,datigovit,Directed,130,,1.0
twanto,rndt_it,Directed,131,,2.0
twanto,inspire_eu,Directed,132,,1.0
twanto,kartoblog,Directed,133,,1.0
cfabry,antorotundo,Directed,134,,1.0
cfabry,cfabry,Directed,135,,1.0
cfabry,rscano,Directed,136,,1.0
cfabry,iwaitaly,Directed,137,,1.0
rscano,antorotundo,Directed,138,,1.0
rscano,cfabry,Directed,139,,1.0
rscano,rscano,Directed,140,,1.0
rscano,iwaitaly,Directed,141,,1.0
planetgis,rndt_it,Directed,142,,1.0
luigizan,rndt_it,Directed,143,,2.0
luigizan,inspire_eu,Directed,144,,1.0
luigizan,nordai_it,Directed,145,,1.0
luigizan,twanto,Directed,146,,1.0
siner_gis,rndt_it,Directed,147,,2.0
