Id,Label,Modularity Class,In-Degree,Out-Degree,Degree,Eccentricity,Closeness Centrality,Betweenness Centrality
pgcipriano,pgcipriano,0,5,3,8,4.0,3.5,4.0
rndt_it,rndt_it,1,37,7,44,3.0,2.6206896551724137,1323.583333333333
inspire_eu,inspire_eu,1,17,0,17,0.0,0.0,0.0
antorotundo,antorotundo,1,8,56,64,2.0,1.0344827586206897,1182.5
aborruso,aborruso,1,6,38,44,2.0,1.3448275862068966,525.8333333333334
alfonso6403,alfonso6403,1,2,2,4,4.0,3.5172413793103448,0.0
nordai_it,nordai_it,1,7,12,19,2.0,1.793103448275862,1347.25
rivistageomedia,rivistageomedia,1,3,0,3,0.0,0.0,0.0
pippopotam0,pippopotam0,1,1,0,1,0.0,0.0,0.0
riccardoluna,riccardoluna,1,5,0,5,0.0,0.0,0.0
iavvocato,iavvocato,1,0,12,12,3.0,1.8305084745762712,0.0
twanto,twanto,1,8,3,11,4.0,3.5517241379310347,32.333333333333336
cfabry,cfabry,2,4,4,8,3.0,1.9827586206896552,0.0
rscano,rscano,2,4,4,8,3.0,1.9827586206896552,0.0
iwaitaly,iwaitaly,2,4,0,4,0.0,0.0,0.0
cesaregerbino,cesaregerbino,1,2,0,2,0.0,0.0,0.0
planetgis,planetgis,1,3,1,4,4.0,3.5689655172413794,58.0
luigizan,luigizan,1,0,4,4,3.0,2.6440677966101696,0.0
siner_gis,siner_gis,1,0,4,4,3.0,2.6440677966101696,0.0
emanuelemmoro,emanuelemmoro,3,0,0,0,0.0,0.0,0.0
europainitalia,europainitalia,1,7,0,7,0.0,0.0,0.0
sandrogozi,sandrogozi,1,7,0,7,0.0,0.0,0.0
dippoliticheue,dippoliticheue,1,7,0,7,0.0,0.0,0.0
ispra_press,ispra_press,1,7,0,7,0.0,0.0,0.0
eu_commission,eu_commission,1,7,0,7,0.0,0.0,0.0
fanenji,fanenji,1,0,2,2,4.0,3.542372881355932,0.0
4g0st1n0,4g0st1n0,1,0,1,1,4.0,3.5762711864406778,0.0
ncracchi,ncracchi,0,0,3,3,4.0,3.4745762711864407,0.0
bertalanivan,bertalanivan,1,0,1,1,5.0,4.508474576271187,0.0
